elevation (ft),volume (mg),fraction full
525.4,377100.0,0.914758393
525.39,377025.0,0.91457646
525.37,376875.0,0.914212595
525.35,376725.0,0.913848729
525.34,376650.0,0.913666796
525.31,376425.0,0.913120997
525.38,376950.0,0.914394527
525.35,376725.0,0.913848729
525.31,376425.0,0.913120997
525.26,376050.0,0.912211333
525.23,375825.0,0.911665535
525.12,375000.0,0.909664273
525.05,374475.0,0.908390743
524.99,374025.0,0.907299146
524.93,373575.0,0.906207549
524.87,373125.0,0.905115952
524.76,372300.0,0.90311469
524.76,372300.0,0.90311469
524.68,371700.0,0.901659228
524.62,371250.0,0.900567631
524.54,370650.0,0.899112168
524.49,370275.0,0.898202503
524.44,369900.0,0.897292839
524.4,369600.0,0.896565108
524.34,369150.0,0.895473511
524.34,369150.0,0.895473511
524.29,368775.0,0.894563846
524.21,368175.0,0.893108383
524.16,368800.0,0.894624491
524.11,367425.0,0.891289055
524.04,366900.0,0.890015525
523.99,366525.0,0.889105861
523.95,366225.0,0.888378129
523.91,365925.0,0.887650398
523.84,365400.0,0.886376868
523.8,365100.0,0.885649136
523.72,364500.0,0.884193674
523.7,364350.0,0.883829808
523.64,363900.0,0.882738211
523.57,363375.0,0.881464681
523.52,363000.0,0.880555016
523.44,362400.0,0.879099554
523.41,362175.0,0.878553755
523.35,361725.0,0.877462158
523.35,361725.0,0.877462158
523.3,361350.0,0.876552494
523.28,361200.0,0.876188628
523.22,360750.0,0.875097031
523.13,360075.0,0.873459635
523.1,359850.0,0.872913837
523.06,359550.0,0.872186105
522.98,358950.0,0.870730642
522.94,358650.0,0.870002911
522.87,358125.0,0.868729381
522.83,357825.0,0.86800165
522.77,357375.0,0.866910052
522.73,357075.0,0.866182321
522.69,356775.0,0.86545459
522.68,356700.0,0.865272657
522.59,359025.0,0.870912575
522.57,355875.0,0.863271395
522.56,355800.0,0.863089462
522.52,355500.0,0.862361731
522.45,354975.0,0.861088201
522.43,354825.0,0.860724335
522.37,354375.0,0.859632738
522.36,354300.0,0.859450805
522.36,354300.0,0.859450805
522.32,354000.0,0.858723074
522.28,353700.0,0.857995343
522.26,353550.0,0.857631477
522.21,353175.0,0.856721813
522.16,352800.0,0.855812148
522.14,352650.0,0.855448283
522.11,352425.0,0.854902484
522.07,352125.0,0.854174753
522.03,351825.0,0.853447021
521.97,351375.0,0.852355424
521.96,351300.0,0.852173491
521.93,351075.0,0.851627693
521.97,351375.0,0.852355424
521.94,351150.0,0.851809625
521.92,351000.0,0.85144576
521.88,350700.0,0.850718028
521.86,350550.0,0.850354163
521.84,350400.0,0.849990297
521.86,350550.0,0.850354163
521.83,350325.0,0.849808364
521.76,349800.0,0.848534834
521.87,349875.0,0.848716767
521.8,350100.0,0.849262565
521.78,349950.0,0.8488987
521.78,349950.0,0.8488987
521.75,349725.0,0.848352901
521.7,349350.0,0.847443237
521.71,349425.0,0.84762517
521.68,349200.0,0.847079371
521.67,349125.0,0.846897438
521.63,348825.0,0.846169707
521.59,348525.0,0.845441976
521.55,348225.0,0.844714244
521.5,347850.0,0.84380458
521.465,347587.5,0.84315229
521.43,347325.0,0.8425
521.41,347175.0,0.8422
521.36,346800.0,0.8413
521.33,346575.0,0.8407
521.3,346350.0,0.8402
521.28,346200.0,0.8398
521.28,346200.0,0.8398
521.27,346125.0,0.8396
521.22,345750.0,0.8387
521.19,345525.0,0.8382
521.17,345375.0,0.8378
521.15,345225.0,0.8374
521.15,345225.0,0.8374
521.11,344925.0,0.8367
521.1,344850.0,0.8365
521.07,344625.0,0.836
521.05,344475.0,0.8356
521.02,344250.0,0.8351
520.98,343952.0,0.8343
521.02,344250.0,0.8351
520.95,343730.0,0.8338
520.93,343582.0,0.8335
520.89,343286.0,0.8327
520.88,343212.0,0.8326
520.88,343212.0,0.8326
520.8,342620.0,0.8311
520.82,342768.0,0.8315
520.8,342620.0,0.8311
520.76,342324.0,0.8304
520.77,342398.0,0.8306
520.78,342472.0,0.8308
520.76,342324.0,0.8304
520.76,342324.0,0.8304
520.73,342102.0,0.8299
520.71,341954.0,0.8295
520.7,341880.0,0.8293
520.68,341732.0,0.829
520.7,341880.0,0.8293
520.69,341806.0,0.8291
520.65,341510.0,0.8284
520.62,341288.0,0.8279
520.65,341510.0,0.8284
520.57,340918.0,0.827
520.55,340770.0,0.8266
520.53,340622.0,0.8263
520.45,340030.0,0.8248
520.46,340104.0,0.825
520.45,340030.0,0.8248
520.48,340252.0,0.8254
520.43,339882.0,0.8245
520.41,339734.0,0.8241
520.42,339808.0,0.8243
520.44,339956.0,0.8247
520.42,339808.0,0.8243
520.41,339734.0,0.8241
520.35,339290.0,0.823
520.34,339216.0,0.8229
520.32,339068.0,0.8225
520.33,339142.0,0.8227
520.31,338994.0,0.8223
520.3,338920.0,0.8221
520.32,339068.0,0.8225
520.33,339142.0,0.8227
520.34,339216.0,0.8229
520.35,339290.0,0.823
520.37,339438.0,0.8234
520.37,339438.0,0.8234
520.41,339734.0,0.8241
520.47,340178.0,0.8252
520.45,340030.0,0.8248
520.45,340030.0,0.8248
520.48,340252.0,0.8254
520.48,340252.0,0.8254
520.48,340252.0,0.8254
520.48,340252.0,0.8254
520.45,340030.0,0.8248
520.42,339808.0,0.8243
520.42,339808.0,0.8243
520.42,339808.0,0.8243
520.5,340400.0,0.8257
520.52,340548.0,0.8261
520.42,339808.0,0.8243
520.42,339808.0,0.8243
